Date,Value
24/08/2019 03:00:00.000,4140.98
24/08/2019 04:00:00.000,4461.03
24/08/2019 05:00:00.000,4206.58
24/08/2019 06:00:00.000,4536.23
24/08/2019 07:00:00.000,4438.93
24/08/2019 08:00:00.000,4179.65
24/08/2019 09:00:00.000,4153.01
24/08/2019 10:00:00.000,6899.16
24/08/2019 11:00:00.000,6524.49
24/08/2019 12:00:00.000,4992.29
24/08/2019 13:00:00.000,3974.53
24/08/2019 14:00:00.000,5247.17
24/08/2019 15:00:00.000,4136.49
24/08/2019 16:00:00.000,3933.03
24/08/2019 17:00:00.000,3310.92
24/08/2019 18:00:00.000,2002.61
24/08/2019 19:00:00.000,3623.68
24/08/2019 20:00:00.000,3799.64
24/08/2019 21:00:00.000,3932.04
24/08/2019 22:00:00.000,4104.76
24/08/2019 23:00:00.000,4151.03
25/08/2019 00:00:00.000,4179.69
25/08/2019 01:00:00.000,4174.48
25/08/2019 02:00:00.000,4235.43
25/08/2019 03:00:00.000,4104.42
25/08/2019 04:00:00.000,4162.27
25/08/2019 05:00:00.000,3992.60
25/08/2019 06:00:00.000,3986.40
25/08/2019 07:00:00.000,3981.56
25/08/2019 08:00:00.000,4132.75
25/08/2019 09:00:00.000,3886.88
25/08/2019 10:00:00.000,4098.91
25/08/2019 11:00:00.000,3943.63
25/08/2019 12:00:00.000,3520.63
25/08/2019 13:00:00.000,2979.74
25/08/2019 14:00:00.000,2705.76
25/08/2019 15:00:00.000,2653.50
25/08/2019 16:00:00.000,2878.12
25/08/2019 17:00:00.000,1905.34
25/08/2019 18:00:00.000,2042.49
25/08/2019 19:00:00.000,3477.58
25/08/2019 20:00:00.000,3603.92
25/08/2019 21:00:00.000,3762.48
25/08/2019 22:00:00.000,3694.95
25/08/2019 23:00:00.000,3826.83
26/08/2019 00:00:00.000,3899.07
26/08/2019 01:00:00.000,3914.64
26/08/2019 02:00:00.000,3884.32
26/08/2019 03:00:00.000,3709.88
26/08/2019 04:00:00.000,4148.04
26/08/2019 05:00:00.000,3704.83
26/08/2019 06:00:00.000,3706.54
26/08/2019 07:00:00.000,3846.70
26/08/2019 08:00:00.000,3974.64
26/08/2019 09:00:00.000,4083.08
26/08/2019 10:00:00.000,7524.17
26/08/2019 11:00:00.000,9206.11
26/08/2019 12:00:00.000,11253.01
26/08/2019 13:00:00.000,13130.67
26/08/2019 14:00:00.000,14125.57
26/08/2019 15:00:00.000,10679.62
26/08/2019 16:00:00.000,11878.14
26/08/2019 17:00:00.000,16152.66
26/08/2019 18:00:00.000,18783.51
26/08/2019 19:00:00.000,18550.89
26/08/2019 20:00:00.000,14098.95
26/08/2019 21:00:00.000,15428.62
26/08/2019 22:00:00.000,13392.65
26/08/2019 23:00:00.000,12873.55
27/08/2019 00:00:00.000,10816.35
27/08/2019 01:00:00.000,9934.63
27/08/2019 02:00:00.000,5126.04
27/08/2019 03:00:00.000,5014.83
27/08/2019 04:00:00.000,4640.49
27/08/2019 05:00:00.000,4686.77
27/08/2019 06:00:00.000,4896.97
27/08/2019 07:00:00.000,4831.11
27/08/2019 08:00:00.000,4701.51
27/08/2019 09:00:00.000,5082.86
27/08/2019 10:00:00.000,7104.46
27/08/2019 11:00:00.000,11057.59
27/08/2019 12:00:00.000,13462.61
27/08/2019 13:00:00.000,13284.48
27/08/2019 14:00:00.000,10652.04
27/08/2019 15:00:00.000,10787.64
27/08/2019 16:00:00.000,11336.31
27/08/2019 17:00:00.000,12194.53
27/08/2019 18:00:00.000,13583.27
27/08/2019 19:00:00.000,14059.24
27/08/2019 20:00:00.000,13724.93
27/08/2019 21:00:00.000,15174.42
27/08/2019 22:00:00.000,14616.88
27/08/2019 23:00:00.000,12676.28
28/08/2019 00:00:00.000,10977.46
28/08/2019 01:00:00.000,9945.07
28/08/2019 02:00:00.000,5995.23
28/08/2019 03:00:00.000,4566.10
28/08/2019 04:00:00.000,4312.23
28/08/2019 05:00:00.000,4077.25
28/08/2019 06:00:00.000,4291.56
28/08/2019 07:00:00.000,4418.96
28/08/2019 08:00:00.000,4254.99
28/08/2019 09:00:00.000,4493.86
28/08/2019 10:00:00.000,7573.34
28/08/2019 11:00:00.000,12349.15
28/08/2019 12:00:00.000,14278.36
28/08/2019 13:00:00.000,18190.50
28/08/2019 14:00:00.000,16530.29
28/08/2019 15:00:00.000,11136.71
28/08/2019 16:00:00.000,9750.40
28/08/2019 17:00:00.000,15648.20
28/08/2019 18:00:00.000,18771.68
28/08/2019 19:00:00.000,16829.54
28/08/2019 20:00:00.000,13683.51
28/08/2019 21:00:00.000,12646.66
28/08/2019 22:00:00.000,11517.56
28/08/2019 23:00:00.000,12211.88
29/08/2019 00:00:00.000,10605.37
29/08/2019 01:00:00.000,9410.67
29/08/2019 02:00:00.000,5991.02
29/08/2019 03:00:00.000,4704.02
29/08/2019 04:00:00.000,5002.49
29/08/2019 05:00:00.000,4934.13
29/08/2019 06:00:00.000,4759.66
29/08/2019 07:00:00.000,5293.15
29/08/2019 08:00:00.000,5506.19
29/08/2019 09:00:00.000,5510.57
29/08/2019 10:00:00.000,8826.36
29/08/2019 11:00:00.000,12077.39
29/08/2019 12:00:00.000,13090.31
29/08/2019 13:00:00.000,12554.40
29/08/2019 14:00:00.000,10867.86
29/08/2019 15:00:00.000,8260.73
29/08/2019 16:00:00.000,9836.01
29/08/2019 17:00:00.000,
29/08/2019 18:00:00.000,
29/08/2019 19:00:00.000,
29/08/2019 20:00:00.000,
29/08/2019 21:00:00.000,
29/08/2019 22:00:00.000,
29/08/2019 23:00:00.000,
30/08/2019 00:00:00.000,
30/08/2019 01:00:00.000,
30/08/2019 02:00:00.000,
30/08/2019 03:00:00.000,
30/08/2019 04:00:00.000,
30/08/2019 05:00:00.000,
30/08/2019 06:00:00.000,
30/08/2019 07:00:00.000,
30/08/2019 08:00:00.000,
30/08/2019 09:00:00.000,
30/08/2019 10:00:00.000,
30/08/2019 11:00:00.000,
30/08/2019 12:00:00.000,
30/08/2019 13:00:00.000,
30/08/2019 14:00:00.000,
30/08/2019 15:00:00.000,
30/08/2019 16:00:00.000,
30/08/2019 17:00:00.000,
30/08/2019 18:00:00.000,
30/08/2019 19:00:00.000,
30/08/2019 20:00:00.000,
30/08/2019 21:00:00.000,
30/08/2019 22:00:00.000,
30/08/2019 23:00:00.000,
31/08/2019 00:00:00.000,
31/08/2019 01:00:00.000,
31/08/2019 02:00:00.000,
31/08/2019 03:00:00.000,
31/08/2019 04:00:00.000,
31/08/2019 05:00:00.000,
31/08/2019 06:00:00.000,
31/08/2019 07:00:00.000,
31/08/2019 08:00:00.000,
31/08/2019 09:00:00.000,
31/08/2019 10:00:00.000,
