Date,Value
23/08/2019 03:00:00.000,
23/08/2019 04:00:00.000,
23/08/2019 05:00:00.000,
23/08/2019 06:00:00.000,
23/08/2019 07:00:00.000,
23/08/2019 08:00:00.000,
23/08/2019 09:00:00.000,
23/08/2019 10:00:00.000,
23/08/2019 11:00:00.000,
23/08/2019 12:00:00.000,
23/08/2019 13:00:00.000,
23/08/2019 14:00:00.000,
23/08/2019 15:00:00.000,
23/08/2019 16:00:00.000,
23/08/2019 17:00:00.000,
23/08/2019 18:00:00.000,
23/08/2019 19:00:00.000,
23/08/2019 20:00:00.000,
23/08/2019 21:00:00.000,
23/08/2019 22:00:00.000,137.18
23/08/2019 23:00:00.000,144.95
24/08/2019 00:00:00.000,106.54
24/08/2019 01:00:00.000,100.41
24/08/2019 02:00:00.000,81.25
24/08/2019 03:00:00.000,52.13
24/08/2019 04:00:00.000,51.79
24/08/2019 05:00:00.000,51.78
24/08/2019 06:00:00.000,52.32
24/08/2019 07:00:00.000,53.71
24/08/2019 08:00:00.000,52.76
24/08/2019 09:00:00.000,52.55
24/08/2019 10:00:00.000,43.71
24/08/2019 11:00:00.000,43.97
24/08/2019 12:00:00.000,44.26
24/08/2019 13:00:00.000,43.88
24/08/2019 14:00:00.000,43.91
24/08/2019 15:00:00.000,57.61
24/08/2019 16:00:00.000,57.54
24/08/2019 17:00:00.000,30.88
24/08/2019 18:00:00.000,30.81
24/08/2019 19:00:00.000,30.82
24/08/2019 20:00:00.000,30.72
24/08/2019 21:00:00.000,17.93
24/08/2019 22:00:00.000,53.57
24/08/2019 23:00:00.000,53.66
25/08/2019 00:00:00.000,53.46
25/08/2019 01:00:00.000,52.36
25/08/2019 02:00:00.000,54.27
25/08/2019 03:00:00.000,52.60
25/08/2019 04:00:00.000,52.28
25/08/2019 05:00:00.000,52.82
25/08/2019 06:00:00.000,52.65
25/08/2019 07:00:00.000,52.51
25/08/2019 08:00:00.000,53.79
25/08/2019 09:00:00.000,52.63
25/08/2019 10:00:00.000,18.08
25/08/2019 11:00:00.000,18.14
25/08/2019 12:00:00.000,17.81
25/08/2019 13:00:00.000,17.39
25/08/2019 14:00:00.000,17.45
25/08/2019 15:00:00.000,17.90
25/08/2019 16:00:00.000,17.48
25/08/2019 17:00:00.000,17.87
25/08/2019 18:00:00.000,17.54
25/08/2019 19:00:00.000,18.31
25/08/2019 20:00:00.000,17.55
25/08/2019 21:00:00.000,18.02
25/08/2019 22:00:00.000,46.87
25/08/2019 23:00:00.000,46.90
26/08/2019 00:00:00.000,46.87
26/08/2019 01:00:00.000,48.26
26/08/2019 02:00:00.000,46.85
26/08/2019 03:00:00.000,47.04
26/08/2019 04:00:00.000,47.15
26/08/2019 05:00:00.000,46.89
26/08/2019 06:00:00.000,47.58
26/08/2019 07:00:00.000,47.52
26/08/2019 08:00:00.000,47.14
26/08/2019 09:00:00.000,47.97
26/08/2019 10:00:00.000,54.85
26/08/2019 11:00:00.000,121.01
26/08/2019 12:00:00.000,118.20
26/08/2019 13:00:00.000,152.03
26/08/2019 14:00:00.000,135.94
26/08/2019 15:00:00.000,72.99
26/08/2019 16:00:00.000,72.57
26/08/2019 17:00:00.000,125.02
26/08/2019 18:00:00.000,122.50
26/08/2019 19:00:00.000,123.44
26/08/2019 20:00:00.000,130.14
26/08/2019 21:00:00.000,107.90
26/08/2019 22:00:00.000,150.41
26/08/2019 23:00:00.000,119.21
27/08/2019 00:00:00.000,87.68
27/08/2019 01:00:00.000,98.65
27/08/2019 02:00:00.000,65.49
27/08/2019 03:00:00.000,40.06
27/08/2019 04:00:00.000,41.59
27/08/2019 05:00:00.000,40.51
27/08/2019 06:00:00.000,39.75
27/08/2019 07:00:00.000,43.69
27/08/2019 08:00:00.000,42.44
27/08/2019 09:00:00.000,66.66
27/08/2019 10:00:00.000,55.85
27/08/2019 11:00:00.000,102.65
27/08/2019 12:00:00.000,101.78
27/08/2019 13:00:00.000,141.60
27/08/2019 14:00:00.000,139.23
27/08/2019 15:00:00.000,68.65
27/08/2019 16:00:00.000,50.50
27/08/2019 17:00:00.000,95.86
27/08/2019 18:00:00.000,
27/08/2019 19:00:00.000,5400.86
27/08/2019 20:00:00.000,7032.26
27/08/2019 21:00:00.000,5985.59
27/08/2019 22:00:00.000,9210.68
27/08/2019 23:00:00.000,8768.60
28/08/2019 00:00:00.000,8341.36
28/08/2019 01:00:00.000,8295.29
28/08/2019 02:00:00.000,6638.32
28/08/2019 03:00:00.000,3272.61
28/08/2019 04:00:00.000,3308.64
28/08/2019 05:00:00.000,3279.99
28/08/2019 06:00:00.000,3272.81
