Date,Value
8/9/14,5.341
8/10/14,11.304
8/11/14,16.170
8/12/14,14.926
8/13/14,0.147
8/14/14,10.386
8/15/14,7.134
8/16/14,3.143
8/17/14,9.695
8/18/14,13.337
8/19/14,15.682
8/20/14,17.825
8/21/14,17.518
8/22/14,17.317
8/23/14,16.938
8/24/14,17.129
8/25/14,16.230
8/26/14,19.145
8/27/14,19.437
8/28/14,14.688
8/29/14,7.641
8/30/14,16.905
8/31/14,2.014
9/1/14,18.520
9/2/14,9.619
9/3/14,18.300
9/4/14,8.229
9/5/14,10.156
9/6/14,17.515
9/7/14,6.800
9/8/14,18.240
9/9/14,19.368
9/10/14,19.639
9/11/14,17.502
9/12/14,17.306
9/13/14,18.596
9/14/14,18.996
9/15/14,7.591
9/16/14,20.200
9/17/14,15.434
9/18/14,13.611
9/19/14,4.749
9/20/14,9.419
9/21/14,20.700
9/22/14,10.854
9/23/14,19.540
9/24/14,2.684
9/25/14,7.440
9/26/14,4.336
9/27/14,3.159
9/28/14,3.950
9/29/14,2.816
9/30/14,13.283
10/1/14,13.631
10/2/14,10.181
10/3/14,7.741
10/4/14,10.577
10/5/14,14.523
10/6/14,17.738
10/7/14,15.264
10/8/14,13.982
10/9/14,21.856
10/10/14,21.504
10/11/14,17.683
10/12/14,20.748
10/13/14,19.401
10/14/14,13.602
10/15/14,8.544
10/16/14,17.613
10/17/14,15.568
10/18/14,7.493
10/19/14,11.929
10/20/14,6.985
10/21/14,14.442
10/22/14,11.304
10/23/14,19.129
10/24/14,11.937
10/25/14,13.629
10/26/14,12.509
10/27/14,19.276
10/28/14,23.188
10/29/14,23.009
10/30/14,21.314
10/31/14,17.287
11/1/14,15.636
11/2/14,7.299
11/3/14,14.255
11/4/14,10.771
11/5/14,7.259
11/6/14,15.945
11/7/14,5.251
11/8/14,14.705
11/9/14,20.962
11/10/14,18.412
11/11/14,22.036
11/12/14,15.314
11/13/14,13.103
11/14/14,5.014
11/15/14,14.451
11/16/14,22.057
11/17/14,24.491
11/18/14,22.705
11/19/14,19.989
11/20/14,12.887
11/21/14,14.210
11/22/14,12.448
11/23/14,9.734
11/24/14,17.877
11/25/14,10.309
11/26/14,14.254
11/27/14,18.405
11/28/14,14.661
11/29/14,14.493
11/30/14,13.010
12/1/14,15.543
12/2/14,20.907
12/3/14,18.709
12/4/14,5.569
12/5/14,19.737
12/6/14,16.090
12/7/14,19.366
12/8/14,20.333
12/9/14,14.456
12/10/14,13.791
12/11/14,12.721
12/12/14,10.725
12/13/14,13.982
12/14/14,16.002
12/15/14,16.826
12/16/14,18.376
12/17/14,21.889
12/18/14,12.301
12/19/14,12.325
12/20/14,19.827
12/21/14,13.016
12/22/14,1.105
12/23/14,6.768
12/24/14,7.024
12/25/14,7.296
12/26/14,18.511
12/27/14,14.320
12/28/14,16.508
12/29/14,10.487
12/30/14,18.572
12/31/14,11.225
1/1/15,16.284
1/2/15,18.024
1/3/15,6.913
1/4/15,11.483
1/5/15,13.076
1/6/15,19.517
1/7/15,14.817
1/8/15,12.065
1/9/15,21.807
1/10/15,13.191
1/11/15,17.943
1/12/15,21.432
1/13/15,17.490
1/14/15,14.981
1/15/15,18.894
1/16/15,17.162
1/17/15,19.411
1/18/15,18.381
1/19/15,16.036
1/20/15,20.236
1/21/15,13.440
1/22/15,11.465
1/23/15,17.457
1/24/15,19.644
1/25/15,17.446
1/26/15,19.206
1/27/15,20.833
1/28/15,16.084
1/29/15,16.557
1/30/15,4.744
1/31/15,12.119
2/1/15,11.869
2/2/15,15.769
2/3/15,12.840
2/4/15,9.024
2/5/15,9.749
2/6/15,14.678
2/7/15,15.710
2/8/15,17.369
2/9/15,18.332
2/10/15,19.133
2/11/15,16.384
2/12/15,13.404
2/13/15,13.966
2/14/15,7.098
2/15/15,5.325
2/16/15,7.968
2/17/15,5.006
2/18/15,11.309
2/19/15,17.425
2/20/15,11.995
2/21/15,13.440
2/22/15,19.708
2/23/15,15.369
2/24/15,8.710
2/25/15,18.323
2/26/15,18.171
2/27/15,18.748
2/28/15,8.965
3/1/15,21.291
3/2/15,11.782
3/3/15,17.146
3/4/15,14.930
3/5/15,11.420
3/6/15,7.382
3/7/15,13.015
3/8/15,7.620
3/9/15,9.734
3/10/15,13.954
3/11/15,14.164
3/12/15,14.368
3/13/15,15.235
3/14/15,9.314
3/15/15,16.541
3/16/15,7.131
3/17/15,7.371
3/18/15,9.407
3/19/15,10.527
3/20/15,8.880
3/21/15,10.479
3/22/15,7.226
3/23/15,8.426
3/24/15,11.577
3/25/15,16.289
3/26/15,17.788
3/27/15,12.323
3/28/15,5.064
3/29/15,4.390
3/30/15,9.038
3/31/15,19.532
4/1/15,14.250
4/2/15,14.965
4/3/15,17.432
4/4/15,16.534
4/5/15,10.281
4/6/15,7.138
4/7/15,12.010
4/8/15,13.166
4/9/15,13.239
4/10/15,11.238
4/11/15,17.485
4/12/15,14.409
4/13/15,14.667
4/14/15,12.854
4/15/15,10.784
4/16/15,8.476
4/17/15,7.904
4/18/15,11.147
4/19/15,5.019
4/20/15,12.252
4/21/15,6.066
4/22/15,2.999
4/23/15,4.518
4/24/15,12.513
4/25/15,13.759
4/26/15,10.111
