Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;
83842;01/01/2018;0000;21.1;20.4;
83842;01/01/2018;1200;22.1;20.4;
83842;01/01/2018;1800;29.8;22.6;
83842;02/01/2018;0000;22.6;20.8;
83842;02/01/2018;1200;22.4;19.3;
83842;02/01/2018;1800;24.6;20.2;
83842;03/01/2018;0000;20.7;18.7;
83842;03/01/2018;1200;22.6;18.9;
83842;03/01/2018;1800;28.4;19.8;
83842;04/01/2018;0000;19.4;18.1;
83842;04/01/2018;1200;21.4;15.1;
83842;04/01/2018;1800;28;19.8;
83842;05/01/2018;0000;20;17.9;
83842;05/01/2018;1200;22.6;16.8;
83842;05/01/2018;1800;29.6;19.3;
83842;06/01/2018;0000;20;18.7;
83842;06/01/2018;1200;24.6;20.3;
83842;06/01/2018;1800;27;19.7;
83842;07/01/2018;0000;18.2;16.4;
83842;07/01/2018;1200;18.4;16.6;
83842;07/01/2018;1800;19.9;17.7;
83842;08/01/2018;0000;17;16.1;
83842;08/01/2018;1200;16.3;15.4;
83842;08/01/2018;1800;19;17;
83842;09/01/2018;0000;16.7;15.5;
83842;09/01/2018;1200;18.2;17.4;
83842;09/01/2018;1800;19.3;18.6;
83842;10/01/2018;0000;18.6;18.1;
83842;10/01/2018;1200;19.4;18.5;
83842;10/01/2018;1800;21.2;20.1;
83842;11/01/2018;0000;19.4;18.7;
83842;11/01/2018;1200;19.8;19.2;
83842;11/01/2018;1800;23.2;18.7;
83842;12/01/2018;0000;20.4;18.5;
83842;12/01/2018;1200;20.6;19;
83842;12/01/2018;1800;20.4;18.6;
83842;13/01/2018;0000;20.8;19.3;
83842;13/01/2018;1200;21.7;19;
83842;13/01/2018;1800;26.1;20.9;
83842;14/01/2018;0000;19.5;18.7;
83842;14/01/2018;1200;21.4;19.6;
83842;14/01/2018;1800;26.9;21.8;
83842;15/01/2018;0000;20.5;19.5;
83842;15/01/2018;1200;22;19.4;
83842;15/01/2018;1800;27.6;21.9;
83842;16/01/2018;0000;21.4;19.7;
83842;16/01/2018;1200;22.2;19.9;
83842;16/01/2018;1800;27.2;22.1;
83842;17/01/2018;0000;20.4;19.8;
83842;17/01/2018;1200;20.6;19.5;
83842;17/01/2018;1800;25.9;20.8;
83842;18/01/2018;0000;20.3;19.4;
83842;18/01/2018;1200;21.1;19;
83842;18/01/2018;1800;27.2;22;
83842;19/01/2018;0000;24.7;21.3;
83842;19/01/2018;1200;21.7;20.2;
83842;19/01/2018;1800;22.3;20.6;
83842;20/01/2018;0000;18.6;18.3;
83842;20/01/2018;1200;18.9;18.2;
83842;20/01/2018;1800;22.5;20.3;
83842;21/01/2018;0000;18.9;18.8;
83842;21/01/2018;1200;20.6;19.6;
83842;21/01/2018;1800;27.7;21.8;
83842;22/01/2018;0000;18.8;18.7;
83842;22/01/2018;1200;22.5;19.6;
83842;22/01/2018;1800;29.3;22.3;
83842;23/01/2018;0000;21.9;20.4;
83842;23/01/2018;1200;23.7;20.8;
83842;23/01/2018;1800;29.2;22.5;
83842;24/01/2018;0000;22.9;20.7;
83842;24/01/2018;1200;23;20.2;
83842;24/01/2018;1800;30.3;23.4;
83842;25/01/2018;0000;21.7;20.2;
83842;25/01/2018;1200;21.8;19.6;
83842;25/01/2018;1800;24.5;21.1;
83842;26/01/2018;0000;19.3;18.4;
83842;26/01/2018;1200;19.1;17.7;
83842;26/01/2018;1800;18.9;17.6;
83842;27/01/2018;0000;17.4;16.8;
83842;27/01/2018;1200;18.4;16.7;
83842;27/01/2018;1800;21.2;18.3;
83842;28/01/2018;0000;17.4;15.8;
83842;28/01/2018;1200;20.2;18.3;
83842;28/01/2018;1800;27.2;21.8;
83842;29/01/2018;0000;22.4;20.9;
83842;29/01/2018;1200;20.4;19.6;
83842;29/01/2018;1800;26.1;21.2;
83842;30/01/2018;0000;17.5;16.9;
83842;30/01/2018;1200;17.6;13.8;
83842;30/01/2018;1800;22.3;18.3;
